START_TARGETS
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_DCID,PART_NUMBER,LABEL,TIME_DATA,UP_DELAY,DOWN_TIME,DOWN_DELAY,FOCUS_TIME,FOCUS_DELAY,COLOR_TIME,COLOR_DELAY,BEAM_TIME,BEAM_DELAY,DURATION,MARK,BLOCK,ASSERT,ALL_FADE,PREHEAT,FOLLOW,LINK,LOOP,CURVE,RATE,EXTERNAL_LINKS,EFFECTS,MODE,CUE_NOTES,SCENE_TEXT,SCENE_END
15,Cue_List,,1,8575E26D-6893-4D72-B8F8-0D75B82C2F49,,MAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,A357B86B-5318-44D2-8A53-A543299AF278,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
1,Cue,1,0.1,A357B86B-5318-44D2-8A53-A543299AF278,1,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,
1,Cue,1,0.1,A357B86B-5318-44D2-8A53-A543299AF278,20,MARK,4.9,,,,,,,,,,4.9,M,,,,,,,,,,,,,,,
1,Cue,1,2,9258FA88-65EF-4E3B-B1CA-AB75774A1B59,,PRESET,5,,,,,,,,,,5,R,B,,,,,,,,,,,,,PRE SHOW,
1,Cue,1,4,825D9381-DD64-4CA5-A4A0-94DCD9300C44,,TIME SHIFT,5,,,,,,,,,,5,,,,,,,,,,,,E101 ,,,,
1,Cue,1,5,15DF5F2B-377E-4CFD-BBC8-578E6DB6BBA4,,SOUND Q5 - MIC ON,0,,,,,,,,,,0,,,,,,,,,,,,E101 ,,,,
1,Cue,1,6,A3D0A875-E90C-4EBC-8AED-23CCC4A0B339,,ARI SHADOW LX UP,6,,,,,,,,,,6,,,,,,,,,,,,,,,PROLOGUE,
1,Cue,1,8,170FFC9B-FB43-4CCD-8399-9F662D58C670,,ADD DEE,4,,,,,,,,,,4,,,,,,,,,,,,,,,,
1,Cue,1,10,92DDA200-AA34-4BA4-BB41-0A42E6A0EE51,,ADD ARI AT DOOR,,,,,,,,,,,4,,,,,,,,,,,,,,,,
1,Cue,1,10,92DDA200-AA34-4BA4-BB41-0A42E6A0EE51,1,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,
1,Cue,1,10,92DDA200-AA34-4BA4-BB41-0A42E6A0EE51,2,401,1,,,,,,,,,,1,R,,,,,,,,,,,,,,,
1,Cue,1,12,34B7FD95-567E-4AEC-8611-225314A7E9B2,,VERSE SPCs DOWN,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,14,6D56562E-0D65-4ED5-A840-34E1156BE0BF,,"""KNOCK"" SHIFT TO ROOM / REALISM",0.5,,,,,,,,,,0.5,,I,,,,,,,,,,,,,ARI ARRIVES,
1,Cue,1,16,501E4AAD-CC0B-4802-A647-2EA541B4E91C,,SHIFT TO ARI  VERSE,6,,8,0,,,10,,,,10,,I,,,,,,,,,,,,,,
1,Cue,1,17,96FA7FF7-8169-4BC7-9DB2-59B45B9A149C,,DEE'S AWAKENING,,,,,,,,,,,4,,,,,,,,,,,,,,,,
1,Cue,1,17,96FA7FF7-8169-4BC7-9DB2-59B45B9A149C,1,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,
1,Cue,1,17,96FA7FF7-8169-4BC7-9DB2-59B45B9A149C,2,401 ML,1.5,,,,,,,,,,1.5,,,,,,,,,,,,,,,,
1,Cue,1,18,DD5A0B34-49F3-4144-8650-9108AE4D39F7,,RESTORE TO REALISM,,,,,,,,,,,2,,I,,,,,,,,,,,,,,
1,Cue,1,18,DD5A0B34-49F3-4144-8650-9108AE4D39F7,1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
1,Cue,1,18,DD5A0B34-49F3-4144-8650-9108AE4D39F7,2,401 ML,1.5,,,,,,,,,,1.5,,,,,,,,,,,,,,,,
1,Cue,1,19,9A102AE0-DBE9-4130-B81A-F7E76C3E2A6C,,DOOR CLOSES,0.25,,,,,,,,,,0.25,,,,,,,,,,,,,,,,
1,Cue,1,20,1E97B067-CD96-490B-8ABE-D2E191EE7607,,SHIFT TO DEE VERSE,6,,,,,,10,,,,10,,I,,,,,,,,,,,,,,
1,Cue,1,22,80E3DDAD-CAA8-4077-BBB4-03C7392BFB56,,ADD ARI SPC,6,,,,,,10,,,,10,,,,,,,,,,,,,,,,
1,Cue,1,23,2ED2578B-951D-40E1-B82F-265C8AA08AEF,,RESTORE TO REALISM,4,,,,,,,,,,4,,I,,,,,,,,,,,,,,
1,Cue,1,24,55DB7506-4C02-4B54-B37D-DD4A528F3F01,,COLOR ACCENT DEE,8,,,,,,,,,,8,,,,,,,,,,,,,,,,
1,Cue,1,26,57611684-A7E6-48A5-8631-A62E9C140272,,RESTORE TO REALISM,4,,,,,,,,,,4,,I,A,,,,,,,,,,,,,
1,Cue,1,28,BAF37980-D357-4FDB-B3E4-55F503AB74A8,,SHIFT TO ARI VERSE,10,,,,,,12,,,,12,,,,,,,,,,,,,,,,
1,Cue,1,30,79EF44DE-0144-4B64-96D1-EEDFA635BDE4,,ADD DEE,6,,,,,,12,,,,12,,,,,,,,,,,,,,,,
1,Cue,1,32,43E3CD74-D1FC-4B26-A508-FAE96F12B128,,RESTORE TO REALISM,4,,,,,,,,,,4,,I,A,,,,,,,,,,,,,
1,Cue,1,34,50713C30-7347-438C-B86F-595E542A10B4,,ARI ACCENT BUILD,,,,,,,,,,,10,,,,,,,,,,,,,,,,
1,Cue,1,34,50713C30-7347-438C-B86F-595E542A10B4,1,,4.9,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,34,50713C30-7347-438C-B86F-595E542A10B4,2,US WALL,10,,,,,,,,,,10,,,,,,,,,,,,,,,,
1,Cue,1,35,D52A59AF-CC1D-40E1-9039-D6310449382C,,SOUND Q35,4.9,,,,,,,,,,4.9,,,,,,,,,,,,,,,,
1,Cue,1,35.5,135BEE57-AD63-4657-B9DA-BCDDCE3E0C0B,,SOUND Q35.5,4.9,,,,,,,,,,4.9,,,,,,,,,,,,,,,,
1,Cue,1,36,32CD8CEF-E62F-4F50-8C4F-71CE9B3B72CE,,RESTORE TO REALISM,4,,,,,,,,,,4,,I,A,,,,,,,,,,,,,
1,Cue,1,38,82C14043-6264-4747-B561-55F3F9CEA555,,FX ACCENT ARI,1,,,,,,,,,,1,,,,,,,,,,,,E801 ,,,,
1,Cue,1,40,080071C9-5FA2-4BCF-950A-42DD2B977D0F,,FX ACCENT ARI,1,,,,,,,,,,1,,,,,,,,,,,,E801 ,,,,
1,Cue,1,42,3DA771B3-DDEC-4251-B942-96A1C3012E15,,SHIFT TO ARI VERSE,10,,,,,,16,,,,16,,I,A,,,F0,,,,,,,,,,
1,Cue,1,42.1,D0CABE1A-C6D1-40AD-8FEB-B2C2635A2217,,BUILD DEE,10,6,,,,,20,,,,26,,,,,,,,,,,,,,,,
1,Cue,1,44,FEA12C0C-F9E9-49C8-9DE2-AE4D821BD3A8,,RESTORE TO REALISM,1,,,,,,,,,,1,,I,A,,,,,,,,,,,,,
1,Cue,1,46,F959A7F8-2701-47C7-A0E2-D9F87A531522,,SHIFT TO ARI VERSE,10,,,,,,16,,,,16,,I,,,,,,,,,,,,,,
1,Cue,1,48,3044D12C-8A96-4B87-B4CC-BA2A3F5A883B,,RESTORE TO REALISM,1,,,,,,,,,,1,,I,A,,,,,,,,,,,,,
1,Cue,1,50,2A744702-EE1C-490D-BF89-875F4A795095,,DEE ACCENT FX,1,,,,,,,,,,1,,,,,,,,,,,,E802 ,,,,
1,Cue,1,52,C4D0D632-CBB4-4B22-9565-4A15FA5166F6,,ARI ACCENT FX,1,,,,,,,,,,1,,,,,,,,,,,,E801 ,,,,
1,Cue,1,53,ACF60EEF-020E-4249-A598-71A84B1F147E,,SOUND Q53,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,54,5F702E03-E9E8-4DD8-A9C7-EB0CA63B52F0,,DEE ACCENT FX,,,,,,,,,,,4,,,,,,,,,,,,E802 ,,,,
1,Cue,1,54,5F702E03-E9E8-4DD8-A9C7-EB0CA63B52F0,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
1,Cue,1,54,5F702E03-E9E8-4DD8-A9C7-EB0CA63B52F0,20,MARK,4,,,,,,,,,,4,M,,,,,,,,,,,,,,,
1,Cue,1,55,964F3D36-0D6A-4BF5-885D-E2A0C1B12226,,SOUND Q55,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,56,E3A60A9A-AA7A-4F50-A1F2-95EF31C3A17E,,SHIFT TO VERSE DEE,10,,,,,,12,,,,12,R,I,,,,,,,,,,,,,,
1,Cue,1,58,95A4D183-6ABA-4B2A-AC19-559F5A74D64B,,ADD VERSE ARI,10,,,,,,12,,,,12,,,,,,,,,,,,,,,,
1,Cue,1,60,EC7520B3-4D10-4B0B-8402-31B17CDE7E58,,RESTORE TO REALISM,5,,,,,,,,,,5,,I,A,,,,,,,,,,,,,
