COLOR CODE,COLOR NAME,HEX VALUE
L002,Rose Pink, FF78DC
L003,Lavender Tint, FAF0FA
L004,Medium Bastard Amber, FFC8B4
L007,Pale Yellow, FAFAD2
L008,Dark Salmon, FC9B80
L009,Pale Amber Gold, FCD7B3
L010,Medium Yellow, FFFF00
L013,Straw Tint, FCD89B
L015,Deep Straw, FFCD00
L017,Surprise Peach, E68C64
L019,Fire, FF4600
L020,Medium Amber, FFBE55
L021,Gold Amber, FF8C32
L022,Dark Amber, FF6900
L024,Scarlet, FF5A64
L025,Sunset Red, FF6E46
L026,Bright Red, E6003C
L027,Medium Red, C8003C
L029,Plasa Red, E1003C
L035,Light Pink, FFC8D2
L036,Medium Pink, FFA0B9
L046,Dark Magenta, DC005A
L048,Rose Purple, E66EAF
L049,Medium Purple, BE0091
L052,Light Lavender, E6AAFA
L053,Paler Lavender, E6E6FA
L058,Lavender, B46EF0
L061,Mist Blue, DCF5FF
L063,Pale Blue, D2F5FF
L068,Sky Blue, 46B4F0
L071,Tokyo Blue, 0000B4
L075,Evening Blue, 64A0F0
L079,Just Blue, 3C8CD2
L085,Deeper Blue, 006EB9
L088,Lime Green, DCFF64
L089,Moss Green, 5ADC5A
L090,Dark Yellow Green, 00BE00
L100,Spring Yellow, F5FF00
L101,Yellow, FFF500
L102,Light Amber, FFDC5F
L103,Straw, FCEACC
L104,Deep Amber, FFDC00
L105,Orange, FFA000
L106,Primary Red, F00032
L107,Light Rose, FFA5AF
L108,English Rose, FCBEA9
L109,Light Salmon, FFB2AF
L110,Middle Rose, FFB4C8
L111,Dark Pink, FF8CBE
L113,Magenta, FF0064
L115,Peacock Blue, 00EBC8
L116,Medium Blue-Green, 00C8B9
L117,Steel Blue, B4FAF5
L118,Light Blue, 00E1EB
L119,Dark Blue, 0078C8
L120,Deep Blue, 005FBE
L121,LEE Green, B4FF64
L122,Fern Green, 78FA6E
L124,Dark Green, 00DC78
L126,Mauve, BE009B
L127,Smokey Pink, E16273
L128,Bright Pink, FF50B4
L130,Clear, FFFFFF
L131,Marine Blue, 64FAD2
L132,Medium Blue, 00A0DC
L134,Golden Amber, FAA873
L135,Deep Golden Amber, FF5F00
L136,Pale Lavender, F0BEE6
L137,Special Lavender, C8B4E6
L138,Pale Green, DCFFA0
L139,Primary Green, 4BC300
L140,Summer Blue, 87F0EB
L141,Bright Blue, 00D2E6
L142,Pale Violet, AAAAF0
L143,Pale Navy Blue, 64BED2
L144,No Colour Blue, 5AE1E6
L147,Apricot, FCB98C
L148,Bright Rose, FF507D
L151,Gold Tint, FFCDC3
